table,business_key_val,column,true_value,kind,recorded_value
core_wafer_map,CL-2601-001_01_0_5,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_0_6,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_1_4,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_1_5,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_1_6,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_1_7,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_1_9,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_2_2,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_2_3,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_2_4,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_2_7,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_2_9,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_2_10,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_3_3,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_3_4,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_3_5,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_3_6,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_3_11,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_4_1,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_4_6,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_4_7,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_4_11,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_5_0,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_5_1,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_5_3,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_5_8,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_5_9,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_5_10,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_5_11,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_5_12,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_6_3,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_6_4,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_6_5,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_6_6,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_6_7,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_6_8,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_6_12,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_7_0,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_7_3,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_7_4,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_7_5,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_7_6,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_7_11,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_8_3,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_8_4,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_8_11,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_9_1,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_9_2,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_9_5,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_9_10,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_01_10_3,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_10_4,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_10_6,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_10_7,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_11_3,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_11_5,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_12_5,wafer_id,WF.010101,never_existed,
core_wafer_map,CL-2601-001_01_12_6,wafer_id,WF.010101,pipeline_dropped,
core_wafer_map,CL-2601-001_02_0_6,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_0_7,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_1_4,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_1_5,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_1_6,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_2_4,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_2_8,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_2_9,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_3_1,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_3_3,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_3_7,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_3_9,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_3_10,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_3_11,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_4_2,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_4_4,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_4_5,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_4_6,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_4_8,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_4_11,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_5_1,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_5_3,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_5_4,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_5_12,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_6_0,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_6_1,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_6_2,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_6_4,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_6_6,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_7_1,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_7_3,wafer_id,WF.010102,pipeline_dropped,
core_wafer_map,CL-2601-001_02_7_6,wafer_id,WF.010102,never_existed,
core_wafer_map,CL-2601-001_02_7_7,wafer_id,WF.010102,never_existed,
